rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/advantages,train/clip_range,train/learning_rate,train/explained_variance,train/n_updates,train/returns,train/policy_gradient_loss,train/std,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction
87.39,43,157,558,88064,-22.32370545,1.1652614209800958,-0.43256473541259766,0.2,0.0003,0.7231719791889191,420,-13.09693717956543,-0.010895212000468746,0.931980550289154,-4.052605970203876,0.007688255,0.412447452545166,0.07919921875
89.61,44,161,558,90112,-22.37004175000001,1.2363966739736498,-0.10260297358036041,0.2,0.0003,0.8020511418581009,430,-13.006112098693848,-0.010734854375914437,0.9317100644111633,-4.0334937766194345,0.007740035,0.31045961380004883,0.09677734375
91.29,45,164,559,92160,-21.982615510000002,1.245015693642199,0.16280938684940338,0.2,0.0003,0.8116374760866165,440,-12.722271919250488,-0.01083244990586536,0.9324072003364563,-4.033040082454681,0.0069096712,0.5407478213310242,0.08349609375
91.08,46,168,559,94208,-22.01111971,1.2445842657238244,0.3280189335346222,0.2,0.0003,0.7769638895988464,450,-12.315181732177734,-0.009701174113433807,0.9320289492607117,-4.033730852603912,0.0068704337,0.41933923959732056,0.06474609375
91.1,47,171,559,96256,-21.71931724,1.466556273214519,-0.38197872042655945,0.2,0.0003,0.7847450971603394,460,-12.173057556152344,-0.012601375654048752,0.9286029934883118,-4.024562464654446,0.0073948344,0.6635735034942627,0.08701171875
90.05,48,175,559,98304,-21.36943886,1.2713812254369259,-0.2788514494895935,0.2,0.0003,0.791947141289711,470,-12.791117668151855,-0.009184172017558011,0.9214714169502258,-4.009727093577385,0.0074371356,0.4832184314727783,0.083349609375
89.27,49,179,559,100352,-21.98715332,1.405600917711854,-0.10298579931259155,0.2,0.0003,0.7631072252988815,480,-12.488618850708008,-0.011060223315143957,0.9111838936805725,-3.9803609654307364,0.008195074,0.41860994696617126,0.083203125
89.11,50,182,560,102400,-22.706012199999996,1.413684824295342,-0.790319561958313,0.2,0.0003,0.774896889925003,490,-12.690206527709961,-0.014008298028784338,0.906334400177002,-3.9532822377979757,0.010873868,0.5484536290168762,0.11416015625
87.98,51,186,560,104448,-23.33166846,2.2996570060029624,-1.1808513402938843,0.2,0.0003,0.4124087691307068,500,-12.624957084655762,-0.010094734818994765,0.9086033701896667,-3.949606853723526,0.0077317534,0.9351435899734497,0.065234375
85.43,52,190,560,106496,-23.288654270000002,1.346160482801497,-0.4130009710788727,0.2,0.0003,0.7765826880931854,510,-13.481352806091309,-0.009219390791258775,0.908840000629425,-3.953947538882494,0.007308009,0.4031628668308258,0.076611328125
85.64,53,193,560,108544,-22.95458428,0.9351754007861018,-0.13100701570510864,0.2,0.0003,0.8434507250785828,520,-12.88200569152832,-0.01134743782458827,0.8987511992454529,-3.9319606095552446,0.008388718,0.36127912998199463,0.07998046875
84.55,54,197,560,110592,-22.33351923,0.8164881461299955,-0.1524038016796112,0.2,0.0003,0.8408741056919098,530,-13.72964096069336,-0.013332880745292642,0.8941622376441956,-3.906684486567974,0.008278378,0.37015053629875183,0.098779296875
87.34,55,200,560,112640,-21.98122879,1.2263075729832054,0.1618555635213852,0.2,0.0003,0.75544174015522,540,-12.711750984191895,-0.012213601032271981,0.8875954747200012,-3.887687173485756,0.009215938,0.4544571042060852,0.098388671875
90.16,56,204,561,114688,-22.47128029,1.0626976761966944,0.2742824852466583,0.2,0.0003,0.8123223185539246,550,-12.602861404418945,-0.010891105227346997,0.8809731006622314,-3.8657455272972583,0.007914054,0.43580150604248047,0.073291015625
94.53,57,207,561,116736,-22.841631810000003,1.7301749307662249,-0.0983874648809433,0.2,0.0003,0.714225172996521,560,-12.744905471801758,-0.007671869159094058,0.8806092143058777,-3.853531528264284,0.0060468893,0.5389240384101868,0.0453125
98.16,58,211,561,118784,-23.39704652,1.200406363606453,-0.14562618732452393,0.2,0.0003,0.7878837138414383,570,-12.630581855773926,-0.012357731991505716,0.8773611187934875,-3.8512274965643885,0.009678641,0.4318278729915619,0.085595703125
102.23,59,215,561,120832,-23.965839120000002,1.1567606814205647,-0.27806854248046875,0.2,0.0003,0.8308349996805191,580,-13.264972686767578,-0.012690561487397644,0.8716704249382019,-3.835923820734024,0.011542311,0.3850332498550415,0.134814453125
102.54,60,218,562,122880,-24.02968122,1.184765077754855,-0.12762945890426636,0.2,0.0003,0.790193647146225,590,-13.5932035446167,-0.009469895649817772,0.8743597865104675,-3.8308435052633287,0.00684688,0.5074030160903931,0.065771484375
99.76,61,222,562,124928,-23.6052496,1.0209296326152981,-0.1604406237602234,0.2,0.0003,0.7657621949911118,600,-11.989633560180664,-0.010416170539974701,0.8732714056968689,-3.8337641805410385,0.007968418,0.2312847226858139,0.07783203125
