time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/advantages,train/std,train/entropy_loss,train/loss,train/returns,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction
73728,1064,69,36,-1479.5083019299998,102.0,0.0025422659404284787,-5.9604644775390625e-06,-631.29443359375,1.0917433500289917,-6.024238054454327,3874101.25,-836.5819702148438,6732289.190332795,0.2,350,0.00035910748,0.0003,0.00244140625
75776,1094,69,37,-1626.69278364,102.0,-0.0023738551215501504,-7.152557373046875e-07,5.691375732421875,1.0941344499588013,-6.034953819215298,11470.341796875,-205.3899688720703,23450.248872375487,0.2,360,0.012849409,0.0003,0.122509765625
77824,1124,69,38,-1643.1919977600003,102.0,-0.003958622743084561,-5.030632019042969e-05,-47.3797492980957,1.0926268100738525,-6.029418204724789,34706.859375,-262.83966064453125,490878.26712493895,0.2,370,0.0016064083,0.0003,0.008203125
79872,1153,69,39,-1556.2998955500004,102.0,-0.0025281015725340692,-2.384185791015625e-07,-98.1800537109375,1.0925545692443848,-6.028337024152279,52328.87890625,-319.5040283203125,138489.91675720215,0.2,380,0.0021020272,0.0003,0.013818359375
81920,1183,69,40,-2072.02255216,102.0,-0.0028630127060750967,-2.6226043701171875e-06,35.51396942138672,1.0943567752838135,-6.031734946370125,1791.4554443359375,-192.05810546875,5213.290727996826,0.2,390,0.0014410279,0.0003,0.00166015625
83968,1213,69,41,-2019.85875938,102.0,-0.00033008625905495137,0.0,-1174.8739013671875,1.0943524837493896,-6.0351036682724954,4831804.0,-1396.5504150390625,6703450.439453125,0.2,400,2.8115814e-05,0.0003,0.0
86016,1242,69,42,-3274.63821075,102.0,-0.006305304489069385,-2.6226043701171875e-06,45.889286041259766,1.0976864099502563,-6.044640889763832,4182.1455078125,-181.68002319335938,7569.252647399902,0.2,410,0.009717505,0.0003,0.04052734375
88064,1271,69,43,-3189.4717184200003,102.0,-0.0005985130846966058,-2.384185791015625e-07,-1533.262451171875,1.0971267223358154,-6.0457656443119046,17105130.0,-1755.418701171875,22629480.839437865,0.2,420,0.00018284962,0.0003,0.0
90112,1301,69,44,-3298.4793413300004,102.0,-0.0041987148913904095,-1.1920928955078125e-07,-27.79167938232422,1.0991487503051758,-6.042078112065792,27815.25,-255.82797241210938,121877.9584350586,0.2,430,0.008692032,0.0003,0.045068359375
92160,1330,69,45,-2005.8743665999998,102.0,-0.0033083571150200443,-3.5762786865234375e-07,-133.41363525390625,1.1049258708953857,-6.054116508364677,105665.8203125,-366.453857421875,99170.817086792,0.2,440,0.008693814,0.0003,0.061865234375
