x,y,z,err
1.0,0.0,0.0,2.1452775
0.95733714,-0.052308828,0.08083297,1.0560743
0.9031967,-0.10637882,0.16161244,0.5040362
0.8430622,-0.16172224,0.24241556,0.2246326
0.78106076,-0.22039975,0.32320985,0.08822304
0.73021924,-0.25538462,0.40400994,0.04804642
0.6801189,-0.27286005,0.4848054,0.05025898
0.6142311,-0.27737394,0.5656207,0.05722292
0.54810804,-0.2573948,0.6464192,0.062956974
0.4845743,-0.23169784,0.72718924,0.06560658
0.41701934,-0.1728478,0.807978,0.066733725
0.36204997,-0.14077781,0.88878405,0.06442352
0.2937729,-0.10017236,0.96957535,0.06732897
0.224848,-0.060791068,1.0503592,0.0702054
0.16337064,-0.013659714,1.1027273,0.06915532
0.09391985,-0.0053846757,1.1174897,0.07241527
0.034880467,0.004286812,1.1033188,0.067954846
0.01939923,0.014689546,1.0858713,0.06691351
0.02883042,0.025230223,1.0885178,0.06591204
0.019514864,0.0182698,1.0792098,0.06472381
0.02827154,0.021679027,1.0738218,0.0641637
0.04962444,0.011310177,1.0738353,0.06289775
0.038885966,0.020914195,1.0789226,0.0625983
0.020997662,0.0055544907,1.0600799,0.06248671
0.026814071,-0.003388628,1.0543625,0.06338024
0.017225947,0.00022143674,1.0767109,0.062144734
0.019780157,0.019486919,1.0675147,0.06229351
0.023991534,0.007872855,1.0606993,0.062453467
0.012641513,-0.0059800074,1.0810052,0.062241904
0.013858206,0.016604127,1.0824709,0.062389743
0.030004736,0.011767354,1.063637,0.0623503
0.036980506,0.016437007,1.0703306,0.06223163
0.04307289,7.077963e-05,1.0590144,0.062283374
0.033349417,0.01124464,1.0753347,0.06221354
0.014771112,0.018424403,1.0721875,0.062300265
0.022591557,-0.004170567,1.0533465,0.062259343
0.020563895,-0.011482789,1.0379285,0.062281188
0.02589541,-0.0075377366,1.0821909,0.06211933
0.039509054,0.012372201,1.0677737,0.062182035
0.020421974,0.027688464,1.0649052,0.06227945
0.025388427,0.01205698,1.0515599,0.06238333
0.022788081,0.022861782,1.0643414,0.062211394
0.03772586,0.015448333,1.0544003,0.062250663
0.014798148,0.00912782,1.0817841,0.062157303
0.013110968,0.017319191,1.062949,0.062332194
0.020070443,-0.00885781,1.0791032,0.06363719
0.012235792,-0.006878056,1.0827682,0.0643427
0.023742912,0.024107572,1.0785477,0.06384391
0.026330333,0.027878013,1.0662721,0.062267967
0.018837517,0.010154075,1.0603732,0.062308
0.038617563,0.0047121993,1.0540264,0.06233806
0.031757,-0.0021745858,1.045554,0.062690645
0.052902788,0.0056587923,1.0480607,0.06244191
0.03522281,0.007228247,1.0292182,0.062534355
0.05011199,0.013379358,1.0465081,0.06243251
0.034013987,-0.00950821,1.0647403,0.062198613
0.016987229,0.0051808916,1.0637152,0.062170096
0.021952366,0.01440793,1.0700997,0.062288795
0.0378858,0.020279126,1.0801799,0.062361486
0.032494135,0.014176836,1.0747658,0.062212747
0.020632677,0.01989244,1.0710155,0.06224314
0.028638735,0.03847905,1.0551865,0.06310198
0.027106704,0.033456963,1.0632848,0.06232529
0.017941335,0.04926854,1.0630947,0.06225367
0.026547197,0.03732967,1.0638468,0.06234958
0.026227161,0.024879383,1.0556352,0.06231691
0.011393892,0.022789026,1.0455536,0.062280916
0.015980834,0.02302844,1.0574015,0.06219626
0.020364773,-0.00541442,1.0604511,0.06299705
0.044890307,-0.013912085,1.0820906,0.063537516
0.045168463,-0.0010727686,1.0810734,0.06390574
0.014695686,0.005817516,1.0694114,0.06378603
0.0067671076,0.00955721,1.050772,0.06450662
0.013168877,0.0053239707,1.0413909,0.064982496
0.0240625,-0.0047829826,1.0462365,0.06449825
0.01927312,-0.011852331,1.0536405,0.06321479
0.018080814,-0.014091392,1.0643901,0.06311409
0.010886597,-0.011581705,1.0549217,0.06303409
0.034183636,0.0006026952,1.0595546,0.062388096
0.0062394976,0.0017393354,1.0521219,0.063279726
0.023441719,0.0029674144,1.046171,0.06380886
0.042508136,0.02154417,1.0687025,0.06340447
0.013731867,0.0141717605,1.0631851,0.062955536
0.025960827,-0.006661194,1.049375,0.062261276
-0.0023910545,0.0047971094,1.0605493,0.06239091
0.02044168,-0.002711688,1.060912,0.062449686
0.0144756185,0.005100464,1.042067,0.06253039
0.0336662,-0.010931633,1.0565513,0.06240529
0.0293329,-0.0019911448,1.0540719,0.062316496
0.03604254,0.008461333,1.055284,0.062314164
0.013813578,-0.00700446,1.0591866,0.062228244
0.002227683,0.0015668806,1.067649,0.062215697
0.02017452,-0.002668645,1.0714817,0.062301487
0.039295584,-0.0035279326,1.0615435,0.062235687
0.016242268,-0.01070106,1.0427048,0.062270377
0.0029003813,-0.015555,1.0805337,0.06209283
0.029682064,-0.0002675792,1.0657945,0.062188145
0.025637038,0.010615641,1.0692888,0.062223732
0.028594928,0.023682538,1.0664564,0.06224499
0.035539284,0.003526566,1.0780566,0.0621354
