x,y,z,err
1.0,0.0,0.0,2.1505065
0.941483,-0.05192455,0.048786018,1.0702572
0.8774897,-0.09141054,0.098236784,0.5263399
0.81369215,-0.15576994,0.14964996,0.252929
0.75597876,-0.21077123,0.20023793,0.121595934
0.6744957,-0.27282438,0.2655356,0.046892982
0.5731344,-0.34431142,0.36446145,0.09614576
0.5183078,-0.27900994,0.42893055,0.04238087
0.4821118,-0.26011264,0.47695127,0.013458905
0.43562907,-0.26778212,0.5257083,0.0062959534
0.389823,-0.26984176,0.5752044,0.0062536467
0.3404921,-0.22513962,0.6253116,0.013815042
0.29084304,-0.19328696,0.6760425,0.0077470033
0.23674709,-0.14851591,0.72733045,0.011179696
0.18202107,-0.09624926,0.7790823,0.0194164
0.12639965,-0.080555394,0.8314052,0.027271144
0.06396637,-0.072566,0.8841584,0.0237045
0.015120599,-0.0065995837,0.936873,0.034480445
-0.0041460935,-0.022313435,0.9896426,0.017895676
-0.00014762554,-0.012310744,1.0403214,0.0144508
-0.00540335,0.004790792,1.0206884,0.013342086
-0.018710261,-0.011445098,1.0277961,0.0076921494
-0.020194389,-0.0170397,1.0451462,0.006662422
-0.011113028,0.007847438,1.0516557,0.004691927
-0.022164848,-0.014408824,1.03954,0.0063773664
-0.014498763,-0.023389135,1.0366769,0.004711187
-0.027617866,0.0074485727,1.02935,0.020187639
-0.0041450416,0.022981128,1.0087427,0.021247508
-0.014010449,0.004369313,1.0341563,0.019187927
0.0025304211,0.017660733,1.0323296,0.020829331
-0.007130938,0.014783636,1.0255271,0.02327338
-0.013344255,0.041881084,1.0365696,0.02249061
-0.0066167186,0.03849692,1.0280812,0.022065323
-0.019822158,0.021122348,1.026461,0.01674958
-0.0074255103,0.023137929,1.0069945,0.015398663
0.018759156,0.01946883,1.0121335,0.009487735
0.0047213025,0.019516222,1.0282809,0.007383452
-0.0070475484,0.009811991,1.0030489,0.008721463
-0.004800155,0.028502172,0.99968284,0.008144477
-0.02504673,0.0118902,0.9963757,0.0072153555
-0.018713169,0.0057483637,1.0016016,0.006731207
0.013464498,-0.008091541,1.0245509,0.006705685
0.0029103947,-0.0030443699,1.0172299,0.002903916
-0.019616619,-0.00056561496,1.0154973,0.005112789
-0.015411614,0.00014714993,1.0266293,0.0033116888
0.0025427348,-0.019494941,1.0341855,0.01818409
-0.038800295,-0.02088063,1.0304109,0.006173962
-0.016041093,0.0060552065,1.0298312,0.0035910613
-0.03835401,-0.010718853,1.0225302,0.005511654
-0.0023751303,0.009200232,1.0354424,0.004463217
-0.012826325,0.0063208067,1.0234452,0.005505395
0.015178521,-0.007941696,1.0310695,0.015756037
-0.008781489,-0.020793924,1.0065708,0.006269813
-0.0051440364,-0.022749832,1.0031097,0.004748294
-0.0022040682,-0.014278634,1.0299829,0.0041832975
-0.01905823,-0.021857176,1.027681,0.00396258
0.010900763,-0.0027962786,1.0280563,0.019418746
0.0036336654,-0.019314706,1.0263978,0.02591817
-0.03999646,-0.010455456,1.0236337,0.012825261
-0.010316701,-0.019154932,1.0049045,0.012929702
-0.0121146515,-0.018294118,0.9834019,0.015279187
-0.02768639,-0.052612554,0.9950003,0.01918241
-0.01716708,-0.018567946,1.0011263,0.015775444
-0.008389979,-0.013315762,1.0002681,0.017525403
-0.026559202,0.0052642548,1.0156636,0.010159912
-0.011000328,0.0014668314,1.0235592,0.017691119
0.004834139,-0.0011186424,1.0273484,0.018241776
0.0043478105,-0.013889646,1.0273764,0.018080177
-0.0033335811,-0.0057630795,1.03729,0.015205826
-0.013412501,-0.03668324,1.0509113,0.013709297
0.016952226,0.0138874445,1.0328115,0.014922513
-0.018029377,0.013867916,1.0304923,0.008785293
-0.016777951,0.019409241,1.0278312,0.0088531375
-0.024377037,-0.012982158,1.0279341,0.012115273
-0.002915598,-0.01044868,1.0012584,0.011006022
-0.015615605,0.002575819,1.0167286,0.004380503
-0.0074178916,0.008934484,0.9964592,0.004234195
-0.021921854,-0.0074738637,1.0167602,0.0070659663
-0.0022591972,-0.0052347244,0.9986202,0.004166699
0.0019279275,0.018027823,1.0083357,0.016463157
-0.00397241,0.0061699627,0.99131674,0.016002955
-0.0071128113,-0.0393922,1.0058222,0.022747094
-0.009860695,-0.019816501,1.0393728,0.021781614
0.0042236857,-0.03037146,1.0308715,0.0233244
0.005195323,-0.0117928935,1.0047536,0.020712683
0.008037932,-0.034731425,1.0119938,0.01969538
-0.012682849,-0.027621724,1.0352247,0.011870236
-0.035017416,-0.024866007,1.0216568,0.013203952
-0.014157741,-0.0029325294,1.028391,0.006082515
-0.01607824,-0.004797186,1.0376582,0.0035232923
-0.011323096,-0.0038348678,1.0318857,0.0062751626
-0.02637298,0.01406636,1.0339297,0.0047004814
-0.022282902,0.010446657,1.0309546,0.0051255454
-0.011767512,-0.0018626037,1.0180415,0.008229121
0.0028236709,0.016379848,1.0254301,0.003809913
0.00026973314,0.0052472865,1.0120192,0.00434618
-0.0017652228,-0.00422303,1.0382153,0.0046884557
-0.008031581,-0.007368238,1.0223225,0.0037669204
-0.013587576,-0.00067071826,1.0104388,0.0040642726
-0.02598834,-0.01747392,1.0227975,0.0047125104
