x,y,z,err
1.0,0.0,0.0,4.9393406
0.93918824,-0.055555936,0.1206692,2.4002132
0.8763939,-0.11272786,0.24129729,1.1300222
0.8123982,-0.17366901,0.3619006,0.49475735
0.7542181,-0.23077363,0.4825384,0.1817715
0.6893761,-0.26140717,0.60315806,0.038105037
0.6212707,-0.24439299,0.72377765,0.068965584
0.5533561,-0.20830823,0.8444003,0.106726125
0.48446062,-0.16995727,0.9650246,0.12607934
0.4224362,-0.13176294,1.0856681,0.13475285
0.35920432,-0.08041354,1.186155,0.1392983
0.29635188,-0.0290635,1.207134,0.14186347
0.2260505,-0.0020012506,1.2292217,0.14467476
0.1632113,0.020823449,1.250203,0.14455105
0.10022243,0.055066343,1.271197,0.14458689
0.03563797,0.084673375,1.2921879,0.14542063
0.04390964,0.095735796,1.3132024,0.14494145
0.034664664,0.08606184,1.3342046,0.14419556
0.012511726,0.085097805,1.3552091,0.1438602
0.0044021257,0.10282609,1.3762265,0.14453933
0.021401418,0.08796491,1.3972487,0.14283462
0.026031319,0.123009354,1.4182615,0.14229412
0.019779926,0.13301733,1.4392691,0.14258507
0.0034320971,0.12917043,1.4602782,0.14279318
0.02130979,0.124916,1.4812831,0.14265779
0.0338549,0.1384748,1.5022967,0.14243963
0.013129586,0.17789024,1.5233092,0.14265263
0.021827461,0.16766636,1.544318,0.14235069
0.046163756,0.16391972,1.565326,0.14216213
0.033796344,0.16862184,1.5863436,0.14211647
0.023860576,0.1806865,1.6073543,0.14210913
0.02663209,0.17257258,1.6283627,0.1420631
0.01797215,0.1564289,1.649373,0.14206865
0.033760637,0.16645227,1.670385,0.14203538
0.04587822,0.17559099,1.6913952,0.14202559
0.03429871,0.18717352,1.7124054,0.14202821
0.015990725,0.20618258,1.7334117,0.1420457
0.034363393,0.19636273,1.7544239,0.1420371
0.051145904,0.21489681,1.7754321,0.14205153
0.04233175,0.21153182,1.7964467,0.14205378
0.055447917,0.19374384,1.8174622,0.14226185
0.057721104,0.1938199,1.8384725,0.1420612
0.046040263,0.22854689,1.8594505,0.14236423
0.038685285,0.22305214,1.8804532,0.14206454
0.060194016,0.22672033,1.9014641,0.14204325
0.0358169,0.22268443,1.9224746,0.1420287
0.012223096,0.2329423,1.9434842,0.14225273
0.026442915,0.2364322,1.964497,0.14246564
0.047319986,0.24850959,1.9855037,0.1425655
0.055398807,0.27294528,2.0,0.13620749
0.06287507,0.25895366,2.0,0.11213159
0.053006817,0.276257,2.0,0.07932162
0.03881563,0.26274025,2.0,0.04118725
0.033232957,0.25125545,2.0,0.006067733
0.027786043,0.27656752,2.0,0.040803295
-0.006485591,0.24767159,2.0,0.081984505
0.008165372,0.2461305,2.0,0.12390418
0.0038022762,0.24059196,2.0,0.16575862
0.01862899,0.2211192,2.0,0.20744164
0.018934457,0.21092121,2.0,0.24941915
0.02090264,0.20197615,2.0,0.29141656
0.0013777955,0.19168222,2.0,0.3332976
0.009931889,0.19516231,2.0,0.3753056
-0.010227885,0.19030203,2.0,0.4173254
-0.024222879,0.16896842,2.0,0.45933774
-0.06261707,0.13724977,2.0,0.5014565
-0.08647801,0.13650459,2.0,0.543589
-0.0857524,0.14067276,2.0,0.5855984
-0.074372776,0.100085534,2.0,0.62751764
-0.09265653,0.076448,2.0,0.66959405
-0.06783837,0.08846868,2.0,0.71156365
-0.08171033,0.06449351,2.0,0.75356
-0.08149703,0.026358224,2.0,0.79554063
-0.076544546,0.02254131,2.0,0.8375676
-0.10849865,0.033510853,2.0,0.87956244
-0.13160393,0.057532348,2.0,0.92156565
-0.13232806,0.04042833,2.0,0.96356046
-0.13256471,0.045144785,2.0,1.0055864
-0.14007615,0.033704568,2.0,1.0476116
-0.14035368,0.011298285,2.0,1.089653
-0.13180946,0.019412272,2.0,1.1316777
-0.13471791,0.0029782127,2.0,1.1736709
-0.1316485,-0.0064196954,2.0,1.2156961
-0.1468199,-0.02899845,2.0,1.2577287
-0.15980338,-0.02087655,2.0,1.2997417
-0.15647833,-0.02790425,2.0,1.3417591
-0.18869933,-0.0282344,2.0,1.3838112
-0.18256187,-0.06285945,2.0,1.4258842
-0.17748937,-0.07691833,2.0,1.4678882
-0.20071319,-0.10487709,2.0,1.5099467
-0.19673267,-0.10054166,2.0,1.5519527
-0.20446165,-0.10542772,2.0,1.5939717
-0.18405947,-0.08738328,2.0,1.6359693
-0.1976648,-0.096317336,2.0,1.6779683
-0.22060649,-0.14274374,2.0,1.7199985
-0.21696493,-0.1420961,2.0,1.7620103
-0.20706342,-0.14017887,2.0,1.804038
-0.21845017,-0.1425904,2.0,1.8460568
-0.23997909,-0.14602126,2.0,1.8880665
-0.25306073,-0.14202856,2.0,1.9300932
