x,y,z,err
1.0,0.0,0.0,2.1505065
0.941483,-0.05192455,0.048786018,1.0702572
0.8774897,-0.09141054,0.098236784,0.5263399
0.808621,-0.15953758,0.15331912,0.2469692
0.7585283,-0.22179723,0.20365888,0.124196865
0.6930015,-0.27851057,0.25462532,0.056158192
0.60327595,-0.3196944,0.33899894,0.054681126
0.5522938,-0.30752105,0.39048195,0.028350605
0.431775,-0.22719097,0.5057353,0.118619315
0.36708215,-0.18842553,0.57645404,0.08805157
0.33429733,-0.1966663,0.62277424,0.026974715
0.28275353,-0.17110981,0.6807193,0.021500703
0.24167527,-0.15902822,0.7279911,0.0100688
0.1915754,-0.12634026,0.7760615,0.007187748
0.14016885,-0.086807735,0.8248499,0.0072226296
0.07008865,-0.102068566,0.87434995,0.020636516
0.028099513,-0.05082397,0.92441225,0.013147303
-0.026491098,-0.028050141,0.9750593,0.012682009
-0.017562814,-0.009906195,1.0091774,0.014073382
-0.025801728,-0.019088395,0.9849965,0.010497773
-0.010378272,-0.039358556,1.005251,0.009198656
-0.015780358,-0.0007775868,1.0196004,0.00680383
-0.017244749,-0.013264708,1.015204,0.0048299553
-0.01851496,-0.011085912,1.0137533,0.005204633
-0.04219104,-0.02064471,1.0331975,0.019660408
-0.015204504,0.011856606,1.046289,0.025032116
-0.01593083,0.014522161,1.0271215,0.02814999
-0.01566358,0.0071886694,1.0152098,0.026509408
-0.0023821467,0.016700028,1.0340106,0.022596557
-0.010988451,-0.009770297,1.0215118,0.014621166
-0.00313317,-0.01846698,1.0270455,0.010683979
0.008184784,-0.0010752296,1.0397857,0.011079215
-0.0025062165,-0.022419509,1.0340339,0.008062698
-0.024960011,-0.013700302,1.0345645,0.006766019
-0.024959024,-0.008932268,1.0337135,0.00832029
0.0057397573,0.004365077,1.0215726,0.007721722
0.0017838163,-0.0015508238,1.0093896,0.002775472
-0.008962495,0.007444437,1.0174417,0.0074240477
-0.007869179,-0.018110998,1.0025421,0.004140519
0.0010262216,0.007465443,1.0081874,0.0127276145
-0.0038756384,-0.015372906,1.0159436,0.006125302
-0.004242272,-0.02315732,1.0126046,0.0034742444
-0.025483765,-0.0251136,1.0502068,0.006722956
-0.022961006,-0.011604354,1.0300868,0.007740808
-0.017837884,-0.007163425,1.0218116,0.007180007
-0.0033163698,-0.013485131,1.0432526,0.004124783
0.004287363,-0.0014452433,1.0397857,0.00365041
-0.0017754202,-0.009891103,1.0131752,0.0055521647
-0.009191647,-0.004665187,1.020319,0.0033976235
0.0085153235,-0.013624887,1.0190753,0.0048795566
0.0013286748,-0.010494189,1.0239831,0.00390059
-0.019008638,-0.0014202318,1.0187094,0.003909189
-0.0121721905,-0.019107187,1.0101184,0.005719485
-0.012060839,-0.030205816,1.0222602,0.0062229685
-0.014726259,-0.026192145,1.0378473,0.006364628
-0.017680883,-0.012981801,1.0245248,0.005065843
-0.0085743405,-0.011088628,1.0204684,0.0059987684
-0.017632978,-0.010720148,1.0239122,0.005452478
-0.017879255,0.009862828,1.0268464,0.0042744004
-0.0052113654,-0.00736684,1.021805,0.007102411
0.034035932,0.010350547,1.0392814,0.01880042
0.022479516,-0.00028612622,1.0284162,0.026113689
0.0009985608,-0.0028024404,1.0041807,0.023127293
0.0035144326,0.0053276154,1.0162953,0.023716338
-0.019903397,-0.023997666,1.0193197,0.024444936
0.06707564,-0.0047847335,1.0428803,0.0485955
0.016742332,-0.0009761497,1.0194865,0.023315212
-0.017614072,-0.016119195,1.017336,0.0034703691
-0.027101412,-0.027092136,1.013597,0.01679466
-0.00997947,-0.022716869,1.0066864,0.01923524
-0.009434109,-0.017609185,1.0128269,0.017290825
-0.013225531,0.0011081342,1.0365151,0.0136357695
-0.02738934,0.004360506,1.0364516,0.016099837
-0.031789426,-0.0056722555,1.014509,0.014943452
-0.008122151,0.009751752,1.0160072,0.011504929
-0.01303453,0.0061667343,1.0026435,0.010521909
-0.009650653,-0.0020061156,1.006715,0.011098608
-0.009025476,0.021306822,1.0134239,0.0089214835
-0.017315945,0.004288075,1.0241073,0.010245581
0.0016089327,0.009471912,1.0211357,0.00888468
-0.00064106495,0.0024647585,1.0058235,0.007196886
-0.00020943656,-0.024387926,1.0268528,0.0068739443
0.013127596,-0.015720705,1.0305117,0.004664172
-0.017374622,-0.00030811227,1.00685,0.0052504432
-0.024889918,0.0062459162,1.0070664,0.0074072294
-0.015916564,0.0023358648,0.9989244,0.007650662
0.012559754,-0.008427783,1.0316558,0.004882319
0.0051668193,-0.004556135,1.0407659,0.0042586084
0.01055128,-0.0053545297,1.0452693,0.006261728
-0.0018956773,-0.0022671984,1.0116626,0.004527313
-0.00067802856,-0.007903322,1.007098,0.004572445
-0.007657146,0.014570887,1.008267,0.0046923053
-0.0015014886,0.0026927004,1.0136454,0.004560241
-0.015731178,-0.006898798,1.0058225,0.0055626156
-0.0050214943,0.0003923521,1.0030061,0.0048737805
-0.0006477157,-0.024405941,1.0137655,0.004955611
0.0003403498,-0.0054766065,1.0324192,0.0075856145
-0.019729238,-0.012576695,1.0250278,0.014581066
-0.014661521,0.0044136797,1.0222458,0.016974902
-0.011997888,-0.016237661,1.0306833,0.020809807
