x,y,z
1.0,0.0,0.0
0.936033,-0.013988148,0.020220166
0.85318196,-0.060083915,0.06377465
0.7518549,-0.10669061,0.2067491
0.62840396,-0.02618637,0.38845366
0.4895029,-0.13401473,0.5924998
0.42724073,-0.0579832,0.73963696
0.34182826,0.015305469,0.9073081
0.26610923,-0.042393364,1.0655519
0.2391372,-0.011427335,1.1666131
0.2059083,0.006620564,1.254714
0.16689879,0.03008121,1.3269683
0.11828196,0.047681727,1.3857976
0.06893058,0.050752457,1.4319816
0.014677039,0.051625717,1.4663529
-0.042700134,0.059417978,1.4916358
-0.099864684,0.068597876,1.5126148
-0.15067127,0.07230467,1.5336235
-0.18762626,0.074431874,1.5546204
-0.21793903,0.067998104,1.5756227
-0.23126426,0.059378695,1.5966278
-0.24233696,0.05703275,1.6176451
-0.24489005,0.05486646,1.6386614
-0.2552348,0.059895817,1.6596744
-0.26302207,0.06514872,1.6806844
-0.27834997,0.06528833,1.7016938
-0.2915439,0.06977582,1.7227103
-0.30805662,0.06493794,1.7437239
-0.3174365,0.060720276,1.7647344
-0.32328954,0.062208276,1.7857354
-0.33562177,0.06571296,1.8067399
-0.34324387,0.07041566,1.8277549
-0.3555146,0.072874784,1.8487613
-0.36770952,0.08138321,1.8697683
-0.3754136,0.083495066,1.8907809
-0.38951352,0.084443,1.9117883
-0.3983488,0.08317116,1.9328022
-0.4130508,0.08410037,1.9538151
-0.42996255,0.09634009,1.974792
-0.4371378,0.10421541,1.995803
-0.44412756,0.1125205,2.0
-0.45197347,0.1063944,2.0
-0.47316307,0.101829216,2.0
-0.49404156,0.09964302,2.0
-0.50762266,0.09361417,2.0
-0.52193713,0.09361614,2.0
-0.5318079,0.09162371,2.0
-0.5476052,0.08978442,2.0
-0.5638566,0.08755938,2.0
-0.5834624,0.087256424,2.0
-0.597955,0.083006084,2.0
-0.6094663,0.08313965,2.0
-0.6160029,0.082506575,2.0
-0.63396645,0.07773631,2.0
-0.6486839,0.07333978,2.0
-0.66236866,0.07486725,2.0
-0.67922103,0.07548188,2.0
-0.6995533,0.07586898,2.0
-0.7196726,0.07950133,2.0
-0.7365735,0.08314377,2.0
-0.75882614,0.079582356,2.0
-0.77533835,0.07790101,2.0
-0.78522605,0.07359201,2.0
-0.8052053,0.06786443,2.0
-0.8152158,0.0657924,2.0
-0.828642,0.07136724,2.0
-0.8488373,0.06144483,2.0
-0.86778516,0.058576897,2.0
-0.88331515,0.049600054,2.0
-0.89899886,0.047653913,2.0
-0.91111547,0.050113652,2.0
-0.92362547,0.05124059,2.0
-0.93908894,0.05322544,2.0
-0.9541048,0.05581047,2.0
-0.9694896,0.057763603,2.0
-0.9840673,0.061898265,2.0
-1.0055199,0.060881793,2.0
-1.0282805,0.055886265,2.0
-1.0498209,0.048886552,2.0
-1.0727419,0.048133075,2.0
-1.0904962,0.047605667,2.0
-1.1141367,0.05243909,2.0
-1.1343156,0.050813735,2.0
-1.157592,0.04723767,2.0
-1.176461,0.048240036,2.0
-1.190655,0.040203076,2.0
-1.2061167,0.03535544,2.0
-1.2204843,0.026577536,2.0
-1.23995,0.021212095,2.0
-1.2573631,0.016185852,2.0
-1.27578,0.008276633,2.0
-1.2915378,0.008232316,2.0
-1.3126225,0.010191671,2.0
-1.3256811,0.0026400562,2.0
-1.3464905,-0.0031247574,2.0
-1.363967,0.004390042,2.0
-1.3811312,0.00077110936,2.0
-1.4020419,-0.0007128194,2.0
-1.4185426,0.0004534948,2.0
-1.4385979,0.0018084187,2.0
