x,y,z
1.0,0.0,0.0
0.9105584,-0.06832769,0.07560185
0.7893889,-0.13474165,0.21868598
0.6939204,-0.051939968,0.3567788
0.5666735,-0.15932302,0.5297068
0.49688756,-0.065321274,0.6599516
0.41215125,0.0141213555,0.8073072
0.32370198,-0.071253225,0.958379
0.29940712,-0.023650285,1.044622
0.2733255,0.007860805,1.1091751
0.2382509,0.027988324,1.1598612
0.19937876,0.031038124,1.1997036
0.16775191,0.03231395,1.2305524
0.13024344,0.037106607,1.2549388
0.08821933,0.039845843,1.2714509
0.041914288,0.05458317,1.2843759
-0.014165955,0.057526555,1.2913176
-0.064267755,0.05398422,1.289005
-0.10109031,0.043408334,1.2873079
-0.113556445,0.037415933,1.2869928
-0.1232257,0.029989202,1.2844045
-0.12107487,0.027686,1.2823448
-0.11799518,0.026482461,1.2825404
-0.10422473,0.0240569,1.2822888
-0.10261326,0.024468917,1.2815491
-0.10876267,0.026286855,1.2807856
-0.10537685,0.025916545,1.2820834
-0.10375361,0.030346151,1.2797375
-0.11942738,0.030234464,1.2794182
-0.11605137,0.02471269,1.2787361
-0.11048515,0.03568886,1.2803279
-0.105863795,0.045650955,1.2799966
-0.097912036,0.045767546,1.2822781
-0.087744236,0.045049153,1.2829978
-0.091335654,0.0472857,1.2838304
-0.09758172,0.04912492,1.2849897
-0.09902862,0.048350718,1.284626
-0.101903535,0.049352013,1.2859979
-0.1107457,0.043418434,1.2847291
-0.11563583,0.035235353,1.2825252
-0.12241773,0.021585736,1.2793802
-0.12565444,0.01786572,1.2774037
-0.12142897,0.015789798,1.2732236
-0.117796816,0.020786677,1.2710052
-0.10364033,0.018742267,1.2716337
-0.11821989,0.022417536,1.2722605
-0.112093516,0.028173786,1.2721907
-0.108587116,0.028899996,1.2745817
-0.10861037,0.034209676,1.2753572
-0.10270188,0.03523941,1.276758
-0.09833862,0.034968782,1.2778447
-0.09600898,0.037036452,1.2803762
-0.09621464,0.039139412,1.2819817
-0.09967672,0.043765083,1.2808793
-0.099906676,0.039959528,1.2807593
-0.09794399,0.033229522,1.2819477
-0.0984829,0.032303005,1.2817581
-0.097468264,0.03758943,1.28138
-0.09514121,0.030919788,1.2804226
-0.10234534,0.03203984,1.2790139
-0.09728588,0.030603101,1.279379
-0.092448905,0.031078473,1.2791286
-0.09170738,0.029686622,1.279117
-0.08975831,0.030518984,1.2805197
-0.09225879,0.029528694,1.2800629
-0.09239501,0.022796182,1.2806231
-0.09060761,0.020934947,1.2804999
-0.090884216,0.026312448,1.2786056
-0.090324216,0.028503018,1.2771555
-0.09155646,0.03192905,1.2763168
-0.08792493,0.030719088,1.2771597
-0.09382587,0.028483838,1.2774965
-0.09105079,0.028111558,1.2778432
-0.0954579,0.031060524,1.2782065
-0.093408614,0.029118031,1.2795336
-0.09090979,0.02951961,1.278578
-0.08867899,0.03272177,1.2801772
-0.09604116,0.029840935,1.2804997
-0.091436036,0.028202316,1.2794342
-0.09041893,0.027721724,1.2787921
-0.0957707,0.025515888,1.2773504
-0.10042453,0.026943592,1.2763916
-0.09396045,0.027122037,1.2761298
-0.09844023,0.026770763,1.2752306
-0.07525844,0.031289387,1.2740345
-0.0805605,0.03872743,1.2759951
-0.0891501,0.038481046,1.275278
-0.10026106,0.028660353,1.2755609
-0.107784346,0.019240467,1.2735575
-0.11405432,0.011773135,1.2726604
-0.107367314,0.016108803,1.2683456
-0.10606565,0.02173501,1.267683
-0.10218501,0.022584453,1.26888
-0.10169925,0.01749906,1.2676045
-0.104638405,0.017815072,1.2701166
-0.10033538,0.024497747,1.2709061
-0.10467705,0.027534517,1.2708125
-0.107101396,0.03349831,1.2725489
-0.109412,0.03528687,1.2718546
-0.11058295,0.028686486,1.2704912
