x,y,z
1.0,0.0,0.0
0.91511613,-0.07778482,0.047025807
0.8157343,-0.16535285,0.115748614
0.6802312,-0.057903454,0.20298754
0.5513904,-0.17311385,0.3048483
0.4664342,-0.04810716,0.37315175
0.3696396,-0.15459833,0.45880497
0.3282571,-0.055900857,0.51627207
0.2914793,-0.05832672,0.5946887
0.2536635,0.021135405,0.66306275
0.17022413,-0.10491712,0.7528646
0.29170793,-0.042973876,0.77693284
0.25760782,0.0143032875,0.81822234
0.18787424,-0.036242876,0.86614627
0.17081665,-0.0022574293,0.8661379
0.1537402,0.012904637,0.8708641
0.114189275,-0.012413305,0.8889405
0.07331955,0.0064266818,0.88667345
0.060701445,-0.010848421,0.88502526
0.060269155,-0.008999621,0.8750061
0.06527535,0.011321935,0.87152374
0.045865033,-0.0041901004,0.8715987
0.05216932,0.007733457,0.86738247
0.03052372,-0.02085824,0.8782006
0.08088072,-0.0051518097,0.8912359
0.06644089,0.015054155,0.8832078
0.052182652,0.028340856,0.8713865
0.048104156,0.026891083,0.862622
0.049414147,0.030027611,0.8514773
0.06601983,0.0049172076,0.85297346
0.07465367,0.0018969943,0.8464685
0.06821758,0.019026993,0.8427837
0.064675495,0.0024253353,0.8493506
0.06159354,0.0072371764,0.8500733
0.035429593,-0.013833553,0.86029965
0.048672166,-0.008502151,0.8447216
0.052695207,-0.014416188,0.8358959
0.05612314,-0.012876023,0.821851
0.07227055,-0.01578604,0.821946
0.079695426,-0.0056830123,0.8191011
0.07304748,-0.01691876,0.8251567
0.06133196,-0.0010082766,0.8226599
0.07053397,-0.0047308253,0.8193803
0.107676364,-0.014663878,0.8184835
0.08795747,-0.024432441,0.83600414
0.08119016,-0.011413004,0.83199596
0.07716995,-0.0061278157,0.8269669
0.08366103,-0.0032230092,0.82028806
0.09262493,-0.014236765,0.82432103
0.090839714,-0.0089952005,0.82036924
0.08441821,-0.011888463,0.8208388
0.06906418,0.007440918,0.8293299
0.0847869,-0.0033660955,0.8259787
0.10802226,0.0029465598,0.8228463
0.090734385,-0.0133124385,0.8315385
0.08017457,-0.016856005,0.83090985
0.07444991,-0.02459807,0.8249553
0.08217181,-0.023062218,0.8158379
0.08712545,-0.022678362,0.81240314
0.09042414,-0.031575035,0.8070517
0.112979054,-0.0070810933,0.81683034
0.104026,-0.006194538,0.8161439
0.09244628,-0.0030866314,0.819208
0.08220609,-0.018475985,0.8205321
0.07767244,-0.018276583,0.81752914
0.08370468,-0.015198228,0.81203014
0.09328411,-0.023963287,0.8148576
0.08779297,-0.014928502,0.80872196
0.08227257,-0.00970852,0.8055267
0.08831112,-0.011700922,0.80367696
0.09955859,-0.024926445,0.8088784
0.079470634,-0.019015308,0.80407745
0.1013083,-0.021339074,0.7996863
0.08974569,-0.008806983,0.80524343
0.07051736,0.006476714,0.82135797
0.10547172,-0.060348324,0.8555791
0.09031549,-0.050363664,0.8402604
0.08197938,-0.02865559,0.8423502
0.06969281,-0.01499434,0.84376466
0.050271228,0.0012453909,0.85363865
0.03190527,-0.040203616,0.8747701
0.05848369,-0.022735858,0.8577319
0.05072376,0.0041885087,0.8638044
0.022644723,-0.031212723,0.8846855
0.042403273,-0.024798324,0.8731772
0.07302932,0.0042948895,0.86073595
0.06977889,0.019739253,0.8612522
0.048679296,-0.0079712365,0.86776924
0.070139356,0.022916868,0.8655348
0.06441331,0.026175102,0.8584182
0.018936355,-0.015779717,0.8711023
0.051660348,-0.027273336,0.86408067
0.045069404,0.0008649159,0.8655887
0.038323317,-0.033163518,0.87950784
0.049110565,-0.014761351,0.86295223
0.084604464,0.00061599887,0.8503319
0.08930381,0.017514642,0.85006976
0.04158439,-0.016277026,0.86488515
0.056012515,-0.0060452577,0.85808057
0.045599766,-0.038619686,0.8660405
