x,y,z
1.0,0.0,0.0
0.89381856,-0.07300391,0.06769105
0.75677824,-0.15623768,0.16423208
0.65949917,-0.075793944,0.25045732
0.56198186,-0.1380703,0.33459827
0.47614503,-0.03923398,0.4260228
0.37896824,-0.14054547,0.52726537
0.31882462,-0.051978774,0.59394073
0.23946053,0.0175757,0.6754711
0.16753586,-0.09032769,0.76753426
0.13635652,-0.03846567,0.80231184
0.12969492,-0.006108019,0.8252553
0.07396383,-0.014393024,0.87135863
0.062164508,-0.0067334715,0.8751949
0.044738702,-0.013274953,0.8830297
0.02151582,-0.0013151406,0.88183045
-0.0052755605,-0.014935257,0.8865033
-0.008128555,-0.009904828,0.8683312
-0.03888814,0.0063443105,0.87946826
-0.0030781864,0.00057883497,0.87805617
-0.0094784135,0.008572742,0.8762266
-0.026376339,-0.0050137015,0.87039757
0.01405957,-0.011684073,0.8727604
0.011791321,-0.012104679,0.869104
-0.025186786,-0.018304203,0.88177896
-0.018301511,-0.015674908,0.8809567
-0.046990998,0.022713494,0.8924208
-0.0031632464,-0.023930319,0.9145955
-0.004255587,-0.01257088,0.90551156
-0.012865123,0.002148867,0.89890736
-0.027349925,0.0006945135,0.9009766
-0.040073883,-0.03392847,0.9037149
-0.013591569,-0.028973546,0.890401
0.010251071,-0.019668432,0.89122003
-0.031303175,0.011770269,0.8988969
-0.02600535,-0.020235715,0.9025788
-0.013074809,-0.019781165,0.9006725
-0.024340604,-0.014865052,0.9008242
-0.050585512,0.026446583,0.91439384
-0.01593277,-0.020347768,0.92498595
-0.046925202,0.007547465,0.9106714
-0.026043804,-0.04436528,0.93372333
-0.038588367,-0.029241709,0.9179204
-0.031837955,-0.025393225,0.90483314
-0.00924788,-0.017086666,0.9086284
-0.019551754,-0.02165647,0.9035816
0.009955167,-0.026582833,0.8930882
0.011189474,-0.031193282,0.8892462
-0.020594288,-0.012833821,0.8895637
-0.014145416,-0.008376229,0.8759297
-0.03140472,0.010080026,0.8843371
-0.0103836795,-0.033809528,0.9110796
0.0028298225,-0.024926983,0.90084475
-0.02861132,0.012947747,0.8979052
-0.030635301,-0.0120658,0.90134037
-0.010433354,0.008515127,0.90749955
-0.046084825,-0.020017453,0.9198898
-0.023652505,-0.0071230414,0.8960053
-0.040715285,0.005853099,0.9054298
-0.03329048,-0.020460663,0.89296603
-0.06191037,0.039172407,0.9044601
-0.027644724,0.0022641805,0.91253275
-0.005816718,-0.02783182,0.92047507
-0.02590086,-0.029297205,0.9042014
-0.022463238,-0.027787618,0.89367986
-0.060382202,0.01937767,0.88059634
-0.019997897,0.0031169883,0.89206797
-0.01663755,0.0068488196,0.89217573
-0.012290535,0.0031177267,0.8849127
-0.035958152,-0.028080065,0.89690804
0.004548535,-0.0185528,0.89804083
-0.035647877,0.0218947,0.90795124
-0.016247801,0.008542157,0.9192024
-0.03986418,0.016813,0.9194754
-0.055708002,0.0065724147,0.90656424
-0.032090593,-0.005284637,0.9038238
-0.03396691,0.004681238,0.89028275
-0.012658979,-0.011759044,0.8881607
-0.019979993,-0.038278233,0.8951969
-0.020806475,-0.034916002,0.88588715
-0.02224004,-0.009202042,0.89394933
-0.042808875,-0.031301923,0.9014622
-0.010946268,-0.011369035,0.8982399
-0.031360645,0.010708316,0.90486336
-0.0035218801,-0.015498558,0.92283744
-0.017500868,-0.0104470635,0.9162885
-0.02695277,-0.003996541,0.9071443
-0.021595603,-0.0020771269,0.8988766
-0.022975037,-0.0026617206,0.8908645
-0.015597345,-0.0023881933,0.8852867
-0.024233408,-0.0037771573,0.8774934
-0.011519144,-0.0071184165,0.8703851
-0.0060545765,-0.010946549,0.86454034
0.021082561,-0.007624483,0.86350995
-0.0033107267,-0.023975534,0.87568027
-0.010786132,-0.025573343,0.8736645
0.010558157,-0.027119752,0.870582
-0.003827199,-0.021056425,0.8698743
-0.023802077,-0.029026613,0.88292
0.009078872,-0.02869536,0.8938907
