rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/advantages,train/loss,train/std,train/clip_fraction,train/returns,train/entropy_loss,train/explained_variance
-3.934516739999999,58,102.0,1597,118784,74,-0.008527113046147861,0.15360107355518265,570,0.0003,0.2,0.010360666,0.0016414374113082886,0.04135306179523468,0.5826348662376404,0.124072265625,-1.1472418308258057,-3.4615377694368363,-6.4373016357421875e-06
-3.7982516800000004,59,102.0,1625,120832,74,-0.010545555684075225,0.15551882403669878,580,0.0003,0.2,0.012719849,0.06048840656876564,0.05226195231080055,0.5789908766746521,0.137841796875,-1.0462501049041748,-3.4422267004847527,-7.271766662597656e-06
-3.63368208,60,102.0,1652,122880,74,-0.0053610226488672195,0.1437480402761139,590,0.0003,0.2,0.009856219,0.07821914553642273,0.031055651605129242,0.5742291212081909,0.114111328125,-0.9381881952285767,-3.41693714261055,-6.67572021484375e-06
-3.5738516899999997,61,102.0,1680,124928,74,-0.004560235214012209,0.1320622353698127,600,0.0003,0.2,0.008999068,0.11094982922077179,0.03578679636120796,0.5704103708267212,0.088623046875,-0.8773724436759949,-3.381531948596239,-7.033348083496094e-06
-3.4826429699999992,62,102.0,1707,126976,74,-0.009765123820398004,0.13061625089030712,610,0.0003,0.2,0.010646058,0.06313426792621613,0.032490503042936325,0.5674598217010498,0.12744140625,-0.8708816170692444,-3.3578846365213395,-7.033348083496094e-06
-3.3802517499999998,63,102.0,1735,129024,74,-0.007876848311570938,0.11669429626199417,620,0.0003,0.2,0.0140420105,0.038555312901735306,0.08881714940071106,0.5622069835662842,0.134423828125,-0.8646187782287598,-3.326580213010311,-6.318092346191406e-06
-3.2096154300000013,64,102.0,1762,131072,74,-0.015663800969196017,0.10359166805865243,630,0.0003,0.2,0.024295319,0.09977574646472931,0.06348295509815216,0.5549602508544922,0.166455078125,-0.7111386656761169,-3.281304620206356,-6.318092346191406e-06
-3.0775710800000002,65,102.0,1790,133120,74,-0.00660623953299364,0.08633276800392195,640,0.0003,0.2,0.012192281,-0.010387150570750237,0.028401821851730347,0.5510335564613342,0.133349609375,-0.7738611698150635,-3.242417831718922,-6.198883056640625e-06
-2.8994480800000004,66,102.0,1817,135168,74,-0.0059957545046927406,0.07555735046626069,650,0.0003,0.2,0.011716083,0.01294624898582697,0.08122210204601288,0.5464333891868591,0.1140625,-0.7087686061859131,-3.210717066377401,-6.198883056640625e-06
-2.74570508,67,102.0,1845,137216,74,-0.010983702837256715,0.0726289484242443,660,0.0003,0.2,0.012823127,0.012852277606725693,0.050907157361507416,0.5448862910270691,0.128662109375,-0.6677585244178772,-3.18634721711278,-6.079673767089844e-06
-2.64133426,68,102.0,1872,139264,74,-0.0029254373628646137,0.06198350632621441,670,0.0003,0.2,0.012155158,0.003916094079613686,-0.0026009706780314445,0.5443408489227295,0.119287109375,-0.6347334384918213,-3.172487445920706,-6.4373016357421875e-06
-2.61489369,69,102.0,1900,141312,74,-0.014621776285639498,0.061473089171340686,680,0.0003,0.2,0.014163085,-0.00498611107468605,0.0003574211150407791,0.5434303283691406,0.1578125,-0.5996637344360352,-3.1721348740160464,-5.7220458984375e-06
-2.55744273,70,102.0,1927,143360,74,-0.010551194337313063,0.06969186991918833,690,0.0003,0.2,0.014039124,0.040333740413188934,-0.020235413685441017,0.5380567312240601,0.133447265625,-0.5405415892601013,-3.1479735732078553,-6.318092346191406e-06
-2.53318275,71,102.0,1955,145408,74,-0.005571747794601833,0.057445637957425785,700,0.0003,0.2,0.01010575,0.012355195358395576,-0.004959108307957649,0.5329262018203735,0.11162109375,-0.5644804239273071,-3.1124685116112234,-6.198883056640625e-06
-2.52370921,72,102.0,1982,147456,74,-0.011792099568992853,0.06172044996055774,710,0.0003,0.2,0.01232788,-0.0018876921385526657,0.027788829058408737,0.5246347784996033,0.142041015625,-0.559353768825531,-3.0601629495620726,-6.4373016357421875e-06
-2.47882186,73,102.0,2010,149504,74,-0.009215192441479303,0.05616705356806051,720,0.0003,0.2,0.016026493,-0.02248336933553219,0.03488074988126755,0.5172942876815796,0.139453125,-0.5729517340660095,-3.0068309880793094,-6.079673767089844e-06
-2.4055972199999998,74,102.0,2037,151552,74,-0.008947995913331397,0.050994835095480084,730,0.0003,0.2,0.013367955,-0.01847197115421295,0.024556823074817657,0.5163263082504272,0.139599609375,-0.5392623543739319,-2.967095059156418,-6.4373016357421875e-06
-2.36827335,75,102.0,2065,153600,74,-0.010703615115926369,0.04914298096264247,740,0.0003,0.2,0.02115447,0.019406156614422798,0.004138595424592495,0.508891761302948,0.143115234375,-0.4872242212295532,-2.931953786313534,-6.198883056640625e-06
-2.31765234,76,102.0,2092,155648,74,-0.00915507591853384,0.04787817888136488,750,0.0003,0.2,0.016740164,-0.0015166010707616806,-0.007175557315349579,0.503348708152771,0.16015625,-0.4859449863433838,-2.8821072980761526,-5.841255187988281e-06
-2.2666221600000003,77,102.0,2120,157696,74,-0.008690539495000848,0.0473146546370117,760,0.0003,0.2,0.014391799,0.04196026921272278,0.007374582812190056,0.49910348653793335,0.147900390625,-0.4184904396533966,-2.8445218324661257,-6.4373016357421875e-06
-2.24564067,78,102.0,2147,159744,74,-0.012225699830742088,0.04928994991641957,770,0.0003,0.2,0.018319797,-0.02195524051785469,0.035412684082984924,0.4953233301639557,0.18662109375,-0.47030535340309143,-2.810749851167202,-6.556510925292969e-06
-2.2155140599999994,79,102.0,2175,161792,74,-0.009071600138122448,0.04701906888658414,780,0.0003,0.2,0.014250407,0.038976285606622696,-0.00916370190680027,0.49536454677581787,0.155126953125,-0.4114195704460144,-2.790875884890556,-6.9141387939453125e-06
-2.20189958,80,102.0,2202,163840,74,-0.005250378571508918,0.04179666882264428,790,0.0003,0.2,0.013740648,0.021355487406253815,-0.0017473865300416946,0.4934641122817993,0.12763671875,-0.3776182532310486,-2.788753767311573,-6.794929504394531e-06
-2.1933678800000003,81,102.0,2230,165888,74,-0.009147611346998019,0.04322707525861915,800,0.0003,0.2,0.011779675,-0.010083464905619621,0.03157602250576019,0.4876735806465149,0.146923828125,-0.3981761634349823,-2.761713057756424,-6.4373016357421875e-06
-2.18177566,82,102.0,2257,167936,74,-0.010107883046293864,0.04141496808442753,810,0.0003,0.2,0.014431951,0.017585691064596176,0.004751184955239296,0.4860993027687073,0.1373046875,-0.33547404408454895,-2.7297539837658404,-6.556510925292969e-06
-2.1607283699999997,83,102.0,2284,169984,74,-0.012076758302282543,0.04015575785597321,820,0.0003,0.2,0.019566793,-0.027405016124248505,0.003926310688257217,0.48094993829727173,0.147314453125,-0.40590840578079224,-2.70154018625617,-6.318092346191406e-06
-2.15872072,84,102.0,2312,172032,74,-0.012617790948570472,0.04191016154509271,830,0.0003,0.2,0.021190207,0.020326856523752213,0.005113690160214901,0.477780282497406,0.16865234375,-0.3757299780845642,-2.670279424637556,-6.4373016357421875e-06
-2.13189613,85,102.0,2339,174080,74,-0.003842231151793385,0.04191471366357291,840,0.0003,0.2,0.018371273,0.003737185150384903,0.02661311626434326,0.47587111592292786,0.151513671875,-0.3709726333618164,-2.650550827383995,-6.556510925292969e-06
-2.1243235599999997,86,102.0,2367,176128,74,-0.010584504062717316,0.037742478775908236,850,0.0003,0.2,0.023664016,0.015015419572591782,0.006709173321723938,0.4720368981361389,0.152490234375,-0.3515004813671112,-2.624838913977146,-6.198883056640625e-06
-2.1187959100000002,87,102.0,2395,178176,74,-0.007272218918660656,0.04305770585051505,860,0.0003,0.2,0.01593484,0.026268044486641884,0.022042255848646164,0.47236526012420654,0.159326171875,-0.3299514055252075,-2.607405534386635,-6.318092346191406e-06
-2.10747937,88,102.0,2422,180224,74,-0.0014718466220074334,0.04040141300065443,870,0.0003,0.2,0.012610811,-0.025500183925032616,-0.006564822047948837,0.46666938066482544,0.133837890625,-0.3675687909126282,-2.5773542329668997,-6.556510925292969e-06
-2.10416101,89,102.0,2450,182272,74,-0.010106231805548305,0.040391607412311716,880,0.0003,0.2,0.01969432,0.03937884420156479,0.010132411494851112,0.4579639732837677,0.162451171875,-0.3083862066268921,-2.5195471331477166,-6.198883056640625e-06
-2.1222272,90,102.0,2477,184320,74,-0.006426057110365946,0.044089463249838444,890,0.0003,0.2,0.013620946,0.025137994438409805,-0.005313519388437271,0.4536535441875458,0.142529296875,-0.3298496901988983,-2.461463441699743,-6.079673767089844e-06
